Sr. No.,Structure Name/Gate No,Division,Circle,Zone,Inspection Year,Inspection Type,Issue/Problem,Recommendation,"Rectification/
Action Taken",Condition,Domain,Latitude ,Longitude,Inspection Type Inspection Year
109,Main Weir-64,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2022-2023,Closure,-,-,,N.M,E&I,31.146274,72.138986,Closure 2022-2023
110,SCADA System,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2022-2023,Closure,SCADA (supervisory Control and Data Acquisition) system has been installed and found in working condition. ,Calibration records of sensors and instrument should be maintained.,,N.M,E&I,31.14608,72.152323,Closure 2022-2023
111,Generator-1 & 2                     125 KVA,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2022-2023,Closure,Generator battery thimbles were found rusty carbon was present on it & battery water level was found low. ,Generator batteries should be checked periodically. ,,N.M,E&I,31.146237,72.152152,Closure 2022-2023
112,Generator-3                     60 KVA,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2022-2023,Closure,Generator battery thimbles were found rusty carbon was present on it & battery water level was found low. ,Generator batteries should be checked periodically. ,,N.M,E&I,31.146237,72.152152,Closure 2022-2023
113,UPS 1 & 2                            15 KVA,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2022-2023,Closure,Both were working properly.,UPS batteries should be checked periodically. ,,N.M,E&I,31.145581,72.152233,Closure 2022-2023
114,Security Cameras,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2022-2023,Closure,CCTV cameras installed for surveillance of Trimmu Barrage were found operational.,-,,N.M,E&I,31.145876,72.152405,Closure 2022-2023
115,TS Canal-1,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2023-2024,Closure,Over rating ammeters were installed due to which accurate ampere was not readable. ,  Ammeters should be replaced with proper/accurate size.,,N.M,E&I,31.144675,72.150931,Closure 2023-2024
116,TS Canal-2,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2023-2024,Closure,Over rating ammeters were installed due to which accurate ampere was not readable. ,  Ammeters should be replaced with proper/accurate size.,,N.M,E&I,31.145454,72.151678,Closure 2023-2024
117,TS Canal-8,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2023-2024,Closure,Over rating ammeters were installed due to which accurate ampere was not readable. ,  Ammeters should be replaced with proper/accurate size.,,N.M,E&I,31.144924,72.151564,Closure 2023-2024
118,TS Canal-9,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2023-2024,Closure,Over rating ammeters were installed due to which accurate ampere was not readable. ,  Ammeters should be replaced with proper/accurate size.,,N.M,E&I,31.144882,72.151535,Closure 2023-2024
119,TS Canal-10,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2023-2024,Closure,Over rating ammeters were installed due to which accurate ampere was not readable. ,  Ammeters should be replaced with proper/accurate size.,,N.M,E&I,31.144858,72.151536,Closure 2023-2024
120,Haveli Canal-1,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2023-2024,Closure,Over rating ammeters were installed due to which accurate ampere was not readable. ,  Ammeters should be replaced with proper/accurate size.,,N.M,E&I,31.144368,72.151407,Closure 2023-2024
121,Haveli Canal-2,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2023-2024,Closure,Over rating ammeters were installed due to which accurate ampere was not readable. ,  Ammeters should be replaced with proper/accurate size.,,N.M,E&I,31.14432,72.151338,Closure 2023-2024
122,Rangpur Canal-1,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2023-2024,Closure,Over rating ammeters were installed due to which accurate ampere was not readable. ,  Ammeters should be replaced with proper/accurate size.,,N.M,E&I,31.146344,72.138818,Closure 2023-2024
123,Rangpur Canal-2,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2023-2024,Closure,Over rating ammeters were installed due to which accurate ampere was not readable. ,  Ammeters should be replaced with proper/accurate size.,,N.M,E&I,31.146448,72.138885,Closure 2023-2024
124,Main Weir-23,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2023-2024,Closure,·       Over rating ammeters were installed due to which accurate ampere was not readable. ,  Ammeters should be replaced with proper/accurate size.,,N.M,E&I,31.14495,72.145541,Closure 2023-2024
125,Main Weir-52,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2023-2024,Closure,·       Over rating ammeters were installed due to which accurate ampere was not readable. ,  Ammeters should be replaced with proper/accurate size.,,N.M,E&I,31.145792,72.141296,Closure 2023-2024
126,Main Weir-54,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2023-2024,Closure,·       Over rating ammeters were installed due to which accurate ampere was not readable. ,  Ammeters should be replaced with proper/accurate size.,,N.M,E&I,31.145839,72.141241,Closure 2023-2024
127,Main Weir-56,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2023-2024,Closure,·       Over rating ammeters were installed due to which accurate ampere was not readable. ,  Ammeters should be replaced with proper/accurate size.,,N.M,E&I,31.146131,72.140491,Closure 2023-2024
128,Main Weir-57,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2023-2024,Closure,·       Over rating ammeters were installed due to which accurate ampere was not readable. ,  Ammeters should be replaced with proper/accurate size.,,N.M,E&I,31.146075,72.140297,Closure 2023-2024
129,Main Weir-58,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2023-2024,Closure,·       Over rating ammeters were installed due to which accurate ampere was not readable. ,  Ammeters should be replaced with proper/accurate size.,,N.M,E&I,31.146098,72.140267,Closure 2023-2024
130,Main Weir-60,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2023-2024,Closure,·       Over rating ammeters were installed due to which accurate ampere was not readable. ,  Ammeters should be replaced with proper/accurate size.,,N.M,E&I,31.14611,72.139653,Closure 2023-2024
131,Main Weir-61,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2023-2024,Closure,·       Over rating ammeters were installed due to which accurate ampere was not readable. ,  Ammeters should be replaced with proper/accurate size.,,N.M,E&I,31.146182,72.139581,Closure 2023-2024
132,Main Weir-63,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2023-2024,Closure,·       Over rating ammeters were installed due to which accurate ampere was not readable. ,  Ammeters should be replaced with proper/accurate size.,,N.M,E&I,31.146254,72.138997,Closure 2023-2024
133,Main Weir-64,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2023-2024,Closure,·       Over rating ammeters were installed due to which accurate ampere was not readable. ,  Ammeters should be replaced with proper/accurate size.,,N.M,E&I,31.146274,72.138986,Closure 2023-2024
134,SCADA System,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2023-2024,Closure,Working properly.,-,,N.M,E&I,31.14608,72.152323,Closure 2023-2024
135,Generator-1 & 2                     125 KVA,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2023-2024,Closure,Satisfactory condition,-,,N.M,E&I,31.146237,72.152152,Closure 2023-2024
136,Generator-3                        60 KVA,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2023-2024,Closure,Not operational due to faulty / weak battery. ,50 KVA generator should be made operational. ,,N.M,E&I,31.146237,72.152152,Closure 2023-2024
137,UPS 1 & 2                            15 KVA & 72 No. of Batteries,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2023-2024,Closure,Both UPS were Working properly.,  Batteries should be checked / charged periodically.,,N.M,E&I,31.145581,72.152233,Closure 2023-2024
138,Piezometers system,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2023-2024,Closure,Working properly.,-,,N.M,E&I,31.14608,72.152323,Closure 2023-2024
139,Security Cameras,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2023-2024,Closure,All CCTV cameras were found in working condition.,-,,N.M,E&I,31.145876,72.152405,Closure 2023-2024
140,TS Canal-1,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2024-2025,Closure,Light Indicators of gate no.01 at TS Link Canal was damaged. Over rating ammeters were installed due to which accurate ampere was not readable. ,  Ammeters should be replaced with proper/accurate size. Faulty light Indicators should be repaired. ,,N.M,E&I,31.144675,72.150931,Closure 2024-2025
141,TS Canal-2,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2024-2025,Closure,·       Over rating ammeters were installed due to which accurate ampere was not readable. ,  Ammeters should be replaced with proper/accurate size.,,N.M,E&I,31.145454,72.151678,Closure 2024-2025
142,TS Canal-8,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2024-2025,Closure,·       Over rating ammeters were installed due to which accurate ampere was not readable. ,  Ammeters should be replaced with proper/accurate size.,,N.M,E&I,31.144924,72.151564,Closure 2024-2025
143,TS Canal-9,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2024-2025,Closure,·       Over rating ammeters were installed due to which accurate ampere was not readable. ,  Ammeters should be replaced with proper/accurate size.,,N.M,E&I,31.144882,72.151535,Closure 2024-2025
144,TS Canal-10,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2024-2025,Closure,·       Light Indicators of gate no. 10 at TS Link Canal was damaged. ,Faulty light Indicators should be repaired. ,,N.M,E&I,31.144858,72.151536,Closure 2024-2025
145,Haveli Canal-1,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2024-2025,Closure,·       Over rating ammeters were installed due to which accurate ampere was not readable. ,  Ammeters should be replaced with proper/accurate size.,,N.M,E&I,31.144368,72.151407,Closure 2024-2025
146,Haveli Canal-2,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2024-2025,Closure,·       Over rating ammeters were installed due to which accurate ampere was not readable. ,  Ammeters should be replaced with proper/accurate size.,,N.M,E&I,31.14432,72.151338,Closure 2024-2025
147,Rangpur Canal-1,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2024-2025,Closure,·       Over rating ammeters were installed due to which accurate ampere was not readable. ,  Ammeters should be replaced with proper/accurate size.,,N.M,E&I,31.146344,72.138818,Closure 2024-2025
148,Rangpur Canal-2,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2024-2025,Closure,·       Over rating ammeters were installed due to which accurate ampere was not readable. ,  Ammeters should be replaced with proper/accurate size.,,N.M,E&I,31.146448,72.138885,Closure 2024-2025
149,Main Weir-23,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2024-2025,Closure,·       Over rating ammeters were installed due to which accurate ampere was not readable. ,  Ammeters should be replaced with proper/accurate size.,,N.M,E&I,31.14495,72.145541,Closure 2024-2025
150,Main Weir-52,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2024-2025,Closure,·       Over rating ammeters were installed due to which accurate ampere was not readable. ,  Ammeters should be replaced with proper/accurate size.,,N.M,E&I,31.145792,72.141296,Closure 2024-2025
151,Main Weir-54,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2024-2025,Closure,·       Over rating ammeters were installed due to which accurate ampere was not readable. ,  Ammeters should be replaced with proper/accurate size.,,N.M,E&I,31.145839,72.141241,Closure 2024-2025
152,Main Weir-56,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2024-2025,Closure,·       Over rating ammeters were installed due to which accurate ampere was not readable. ,  Ammeters should be replaced with proper/accurate size.,,N.M,E&I,31.146131,72.140491,Closure 2024-2025
153,Main Weir-57,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2024-2025,Closure,·       Over rating ammeters were installed due to which accurate ampere was not readable. ,  Ammeters should be replaced with proper/accurate size.,,N.M,E&I,31.146075,72.140297,Closure 2024-2025
154,Main Weir-58,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2024-2025,Closure,·       Over rating ammeters were installed due to which accurate ampere was not readable. ,  Ammeters should be replaced with proper/accurate size.,,N.M,E&I,31.146098,72.140267,Closure 2024-2025
155,Main Weir-60,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2024-2025,Closure,·       Over rating ammeters were installed due to which accurate ampere was not readable. ,  Ammeters should be replaced with proper/accurate size.,,N.M,E&I,31.14611,72.139653,Closure 2024-2025
156,Main Weir-61,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2024-2025,Closure,·       Over rating ammeters were installed due to which accurate ampere was not readable. ,  Ammeters should be replaced with proper/accurate size.,,N.M,E&I,31.146182,72.139581,Closure 2024-2025
157,Main Weir-63,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2024-2025,Closure,·       Over rating ammeters were installed due to which accurate ampere was not readable. ,  Ammeters should be replaced with proper/accurate size.,,N.M,E&I,31.146254,72.138997,Closure 2024-2025
158,Main Weir-64,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2024-2025,Closure,·       Over rating ammeters were installed due to which accurate ampere was not readable. ,  Ammeters should be replaced with proper/accurate size.,,N.M,E&I,31.146274,72.138986,Closure 2024-2025
159,SCADA System,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2024-2025,Closure,-,-,,N.M,E&I,31.14608,72.152323,Closure 2024-2025
160,Generator-1 & 2                     125 KVA,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2024-2025,Closure,Satisfactory condition,-,,N.M,E&I,31.146237,72.152152,Closure 2024-2025
161,Generator-3                         60 KVA,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2024-2025,Closure,Not operational due to faulty battery. ,50 KVA generator should be made operational. ,,N.M,E&I,31.146237,72.152152,Closure 2024-2025
162,UPS 1 & 2                            15 KVA,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2024-2025,Closure,Working properly.,-,,N.M,E&I,31.145581,72.152233,Closure 2024-2025
163,Piezometers system,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2024-2025,Closure,Working properly.,-,,N.M,E&I,31.14608,72.152323,Closure 2024-2025
164,Security Cameras,Trimmu Headworks Division ,Trimmu Canal Circle,Multan,2024-2025,Closure,Working properly.,-,,N.M,E&I,31.145876,72.152405,Closure 2024-2025
165,MR Link Canal Gate No. 1,Marala Barrage Division,UCC Circle,Lahore,2022-2023,Closure,Abnormal sound was observed in the 1st reducer box .,Operation of gate during upward movement of gate should be observed closely and consequent repair / overhaul may be recommended accordingly to address the abnormal sound in the reducer box.,,Fair,Mechanical,32.66891,74.47062,Closure 2022-2023
166,MR Link Canal Gate No. 2,Marala Barrage Division,UCC Circle,Lahore,2022-2023,Closure,Abnormal sound was observed in the 1st reducer box .,Operation of gate during upward movement of gate should be observed closely and consequent repair / overhaul may be recommended accordingly to address the abnormal sound in the reducer box.,,Fair,Mechanical,32.66884,74.47048,Closure 2022-2023
167,MR Link Canal Gate No. 2,Marala Barrage Division,UCC Circle,Lahore,2022-2023,Closure,Oil leakages were observed in the gear box.,Damaged gear box seals should be replaced.,,Satisfactory,Mechanical,32.66884,74.47048,Closure 2022-2023
168,MR Link Canal Gate No. 3,Marala Barrage Division,UCC Circle,Lahore,2022-2023,Closure,,,,Fair,Mechanical,32.66878,74.47037,Closure 2022-2023
169,MR Link Canal Gate No. 4,Marala Barrage Division,UCC Circle,Lahore,2022-2023,Closure,Oil leakages were observed in the gear box.,Damaged gear box seals should be replaced.,,Satisfactory,Mechanical,32.6687,74.47023,Closure 2022-2023
